participant,session,condition,p_true
23,2,hard,0.5340005775157144
23,3,standard,0.6027052876010293
23,3,hard,0.524561043154677
23,4,standard,0.4811034322590323
23,4,hard,0.5096094406894354
23,5,standard,0.700172591522551
23,5,hard,0.4778657290474318
24,1,standard,0.4443171593236956
24,1,hard,0.592977144696146
24,2,standard,0.6071931727622532
24,2,hard,0.43196950500815556
24,3,standard,0.7436901609981054
24,3,hard,0.34979123748627416
24,4,standard,0.5699931083149865
24,4,hard,0.46723471208230033
24,5,standard,0.7023776357763774
24,5,hard,0.578446442962944
25,1,standard,0.6748115138003411
25,1,hard,0.7515716126762692
25,2,standard,0.8273092803798499
25,2,hard,0.7049816040719975
25,3,standard,0.7669231718156381
25,3,hard,0.7188274420710147
25,4,standard,0.681479483590151
25,4,hard,0.7025847408188312
25,5,standard,0.6745272734026263
25,5,hard,0.6880184308450069
26,1,standard,0.8203016926474793
26,1,hard,0.7018857858093176
26,2,standard,0.8565241959560282
26,2,hard,0.6578316371827657
26,3,standard,0.8017605023154852
26,3,hard,0.5968570127691417
26,4,standard,0.7207104412028386
26,4,hard,0.6307412833244543
26,5,standard,0.780279299440309
26,5,hard,0.6025184249227736
27,1,standard,0.48630513561270733
27,1,hard,0.35159474459179973
27,2,standard,0.4321899444432505
27,2,hard,0.28145581177870593
27,3,standard,0.453556069745121
27,3,hard,0.3704291692990222
27,4,standard,0.43870438889639257
27,4,hard,0.32987152189085545
27,5,standard,0.39517537154781046
27,5,hard,0.42934153070004166
28,1,standard,0.6188758697190683
28,1,hard,0.486298102529512
28,2,standard,0.7365197392728502
28,2,hard,0.5272207544576971
28,3,standard,0.5486419491836598
28,3,hard,0.46902858290894894
28,4,standard,0.6705339688869115
28,4,hard,0.4994019610690065
28,5,standard,0.5756770128348527
28,5,hard,0.450862441772912
29,1,standard,0.667419342945793
29,1,hard,0.563173452298664
29,2,standard,0.6877690319766752
29,2,hard,0.5375894392969369
29,3,standard,0.5756844212965146
29,3,hard,0.6022500891979239
29,4,standard,0.5595169362899008
29,4,hard,0.48528502031781745
29,5,standard,0.6346765093782852
29,5,hard,0.48832562699289167
30,1,standard,0.6074130502141398
30,1,hard,0.45120218038624005
30,2,standard,0.48060373275769847
30,2,hard,0.5310660682676659
30,3,standard,0.6258701879481474
30,3,hard,0.5117117351996242
30,4,standard,0.6846228228306558
30,4,hard,0.4452100629624234
30,5,standard,0.5817647761660633
30,5,hard,0.505006054426558
31,1,standard,0.6602425061212703
31,1,hard,0.5064166928034266
31,2,standard,0.74335152013029
31,2,hard,0.3943467729255504
31,3,standard,0.6338049627753622
31,3,hard,0.6076824835191046
31,4,standard,0.6091493647352905
31,4,hard,0.479221909906467
31,5,standard,0.8007792473835403
31,5,hard,0.544921783262272
32,1,standard,0.606760170008796
32,1,hard,0.5497738123004196
32,2,standard,0.6341085394248347
32,2,hard,0.4745200483194284
32,3,standard,0.5425785210280588
32,3,hard,0.4812919754566748
32,4,standard,0.7378734943078771
32,4,hard,0.42387365991566583
32,5,standard,0.5220162441783963
32,5,hard,0.3787094230247317
33,1,standard,0.5795763970753313
33,1,hard,0.36741914493205363
33,2,standard,0.5906344823981826
33,2,hard,0.35204147776716543
33,3,standard,0.5341008759756756
33,3,hard,0.5317453045425186
33,4,standard,0.6211687684173685
33,4,hard,0.48496538777289716
33,5,standard,0.7660048000931324
33,5,hard,0.39072448692435435
34,1,standard,0.8555371026791917
34,1,hard,0.8261172511739747
34,2,standard,0.8622527922678174
34,2,hard,0.8596566947366335
34,3,standard,0.8219201619976524
34,3,hard,0.8781150576430743
34,4,standard,0.8448813117507439
34,4,hard,0.6703320499412374
34,5,standard,0.8376166825705897
34,5,hard,0.8207301057803913
35,1,standard,0.6034379233423934
35,1,hard,0.3306046991122513
35,2,standard,0.6595160481404245
35,2,hard,0.5367298958549707
35,3,standard,0.7137249871190006
35,3,hard,0.6467650582841462
35,4,standard,0.6543462487614611
35,4,hard,0.4793683850360082
35,5,standard,0.5910931315372954
35,5,hard,0.5099570672530033
36,1,standard,0.5552846929368146
36,1,hard,0.45031809769131853
36,2,standard,0.6207973861859195
36,2,hard,0.5424202449000342
36,3,standard,0.5938889106813499
36,3,hard,0.5002511546150664
36,4,standard,0.539647537693373
36,4,hard,0.47780474677346674
36,5,standard,0.6181533034585919
36,5,hard,0.45607777461439314
37,1,standard,0.6405131175400522
37,1,hard,0.464189118266827
37,2,standard,0.6518677229017044
37,2,hard,0.4384101943731516
37,3,standard,0.6519134715422821
37,3,hard,0.474501809182518
37,4,standard,0.6363066243925821
37,4,hard,0.4799687843423034
37,5,standard,0.4834476692956172
37,5,hard,0.5789834081113748
38,1,standard,0.5940863158990839
38,1,hard,0.5643591926367058
38,2,standard,0.6819924673209548
38,2,hard,0.5224678335806239
38,3,standard,0.5491899335086007
38,3,hard,0.46483128886219066
38,4,standard,0.6126019641110935
38,4,hard,0.5643094021918003
38,5,standard,0.6535662774162525
38,5,hard,0.4775020111479031
39,1,standard,0.8413613158969668
39,1,hard,0.7900740270115069
39,2,standard,0.7598737036635193
39,2,hard,0.6304812188337965
39,3,standard,0.8286681609164637
39,3,hard,0.7586917406973873
39,4,standard,0.8366252328204409
39,4,hard,0.7106910429713725
39,5,standard,0.8762763901185678
39,5,hard,0.7654196931641722
40,1,standard,0.7032670218080765
40,1,hard,0.4101114179591345
40,2,standard,0.7087721575052712
40,2,hard,0.45107855908593397
40,3,standard,0.6364957719865186
40,3,hard,0.5498422066760253
40,4,standard,0.7322114848223487
40,4,hard,0.51395215870599
40,5,standard,0.7151507098600492
40,5,hard,0.4861967620956108
