participant,session,condition,n_trials,n_correct
36,5,hard,100,47
37,1,standard,100,64
37,1,hard,100,55
37,2,standard,100,68
37,2,hard,100,51
37,3,standard,100,57
37,3,hard,100,49
37,4,standard,100,61
37,4,hard,100,53
37,5,standard,100,53
37,5,hard,100,54
38,1,standard,100,63
38,1,hard,100,63
38,2,standard,100,67
38,2,hard,100,61
38,3,standard,100,59
38,3,hard,100,40
38,4,standard,100,64
38,4,hard,100,59
38,5,standard,100,65
38,5,hard,100,51
39,1,standard,100,84
39,1,hard,100,81
39,2,standard,100,79
39,2,hard,100,69
39,3,standard,100,83
39,3,hard,100,65
39,4,standard,100,90
39,4,hard,100,83
39,5,standard,100,91
39,5,hard,100,71
40,1,standard,100,68
40,1,hard,100,36
40,2,standard,100,81
40,2,hard,100,51
40,3,standard,100,70
40,3,hard,100,48
40,4,standard,100,74
40,4,hard,100,51
40,5,standard,100,75
40,5,hard,100,51
